AssetID,AssetType,CommissionYear
A1106,Sensor,2001
A1107,Sensor,1981
A1108,Pump,1987
A1109,Generator,1998
A1110,Sensor,1985
A1111,Pump,2002
A1112,Generator,1989
A1113,Sensor,2016
A1114,Valve,1982
A1115,Sensor,1981
A1116,Pump,2017
A1117,Generator,2022
A1118,Generator,1992
A1119,Valve,2010
A1120,Pump,2019
A1121,Valve,1991
A1122,Pump,1980
A1123,Sensor,1995
A1124,Sensor,1989
A1125,Pump,1997
A1126,Sensor,2016
A1127,Valve,1998
A1128,Sensor,2016
A1129,Generator,1985
A1130,Sensor,1989
A1131,Pump,1982
A1132,Valve,2011
A1133,Sensor,1995
A1134,Sensor,2008
A1135,Pump,2017
A1136,Generator,1998
A1137,Valve,2006
A1138,Valve,2020
A1139,Pump,1982
A1140,Sensor,1999
A1141,Valve,1980
A1142,Valve,2007
A1143,Valve,1998
A1144,Valve,1998
A1145,Sensor,2020
A1146,Sensor,2012
A1147,Pump,1991
A1148,Generator,1985
A1149,Generator,2021
A1150,Sensor,2021
A1151,Pump,2000
A1152,Generator,1996
A1153,Generator,1992
A1154,Sensor,1998
A1155,Pump,2014
A1156,Valve,1992
A1157,Pump,1990
A1158,Valve,1988
A1159,Pump,1996
A1160,Generator,2013
A1161,Valve,2013
A1162,Valve,2013
A1163,Generator,2020
A1164,Valve,1984
A1165,Sensor,2002
A1166,Sensor,1996
A1167,Sensor,1997
A1168,Sensor,2003
A1169,Valve,1981
A1170,Sensor,2016
A1171,Pump,1980
A1172,Generator,1981
A1173,Generator,2003
A1174,Pump,1987
A1175,Generator,1995
A1176,Valve,1997
A1177,Pump,2006
A1178,Sensor,2022
A1179,Generator,1980
A1180,Sensor,1988
A1181,Pump,1995
A1182,Sensor,1983
A1183,Generator,2001
A1184,Valve,1985
A1185,Generator,1983
A1186,Generator,2008
A1187,Generator,1983
A1188,Generator,1991
A1189,Generator,1999
A1190,Generator,2004
A1191,Pump,2006
A1192,Pump,2006
A1193,Generator,1985
A1194,Pump,2003
A1195,Pump,1989
A1196,Sensor,2009
A1197,Sensor,1982
A1198,Generator,2008
A1199,Sensor,2018
A1200,Valve,2012
A1201,Sensor,1984
A1202,Sensor,2016
A1203,Pump,2010
A1204,Sensor,2016
A1205,Generator,2014
A1206,Sensor,2017
A1207,Valve,2008
A1208,Sensor,2021
A1209,Pump,1995
A1210,Pump,1982
A1211,Generator,2011
A1212,Generator,2009
A1213,Sensor,1990
A1214,Valve,2008
A1215,Sensor,1984
A1216,Sensor,2002
A1217,Sensor,1987
A1218,Sensor,1987
A1219,Sensor,1991
A1220,Sensor,2011
A1221,Generator,1997
A1222,Generator,2004
A1223,Valve,2001
A1224,Pump,1984
A1225,Generator,1986
A1226,Valve,2021
A1227,Sensor,2010
A1228,Sensor,2011
A1229,Sensor,1995
A1230,Valve,1990
A1231,Sensor,2012
A1232,Generator,1984
A1233,Generator,1984
A1234,Valve,2003
A1235,Valve,1981
A1236,Sensor,2004
A1237,Sensor,2000
A1238,Pump,2005
A1239,Generator,2009
A1240,Pump,2012
A1241,Valve,2021
A1242,Valve,1983
A1243,Valve,2018
A1244,Pump,2021
A1245,Generator,2006
A1246,Valve,1999
A1247,Valve,2019
A1248,Sensor,1992
A1249,Valve,2006
A1250,Sensor,1994
A1251,Sensor,1987
A1252,Generator,2018
A1253,Pump,2018
A1254,Pump,1980
A1255,Sensor,1984
A1256,Pump,1994
A1257,Sensor,1981
A1258,Pump,2000
A1259,Generator,1981
A1260,Generator,1990
A1261,Sensor,1994
A1262,Generator,2006
A1263,Pump,2021
A1264,Valve,1995
A1265,Sensor,2015
A1266,Sensor,2022
A1267,Generator,2021
A1268,Sensor,1996
A1269,Pump,2004
A1270,Pump,1987
A1271,Valve,2001
A1272,Pump,1989
A1273,Sensor,1995
A1274,Pump,2012
A1275,Generator,1989
A1276,Valve,2012
A1277,Valve,2012
A1278,Pump,2016
A1279,Pump,1989
A1280,Sensor,2002
A1281,Valve,2010
A1282,Sensor,1998
A1283,Valve,2007
A1284,Generator,2015
A1285,Pump,1997
A1286,Generator,1991
A1287,Generator,1980
A1288,Sensor,1981
A1289,Pump,2015
A1290,Pump,1984
A1291,Valve,1999
A1292,Valve,2009
A1293,Pump,2001
A1294,Valve,1993
A1295,Pump,2000
A1296,Valve,2016
A1297,Generator,1989
A1298,Generator,2009
A1299,Sensor,2006
