WorkOrderID,AssetID,Plant,Vendor,Department,Priority,Status,Problem,RootCause,Reported,Resolved,BudgetGBP,ActualGBP,Variance,DowntimeHours,LostMWh,Risk,Severity,Compliance,AuditScore,Inspector,AssetAge,ReactorType,InventoryPart,InventoryLevel,ReorderPoint,ProcurementDelay,MaintenanceType,LabourHours,Technicians,RadiationZone,DosemSv,Regulation,FineGBP,ContractValue,PaymentStatus,ForecastCost,FailureCount,InspectionFreqDays,Comments
WO00010,A1282,Heysham 1,Vendor_24,Procurement,P4,Closed,Inspection Overdue,Design,2024-07-11,2024-09-07,291088,262741,-28347,23.5,90.9,34,Medium,Pending,75.0,EMP686,40,BWR,P1234,261,86,45,Predictive,61.0,8,C,5.76,STUK,0,433613,Pending,294767,7,30,urgent
WO00011,A1127,Olkiluoto 3,Vendor_12,Procurement,P3,Closed,Inspection Overdue,Human Error,22/02/2024,2024-03-05,111295,193401,82106,75.4,770.0,17,Medium,Non-Compliant,,EMP173,23,SMR,P1452,443,64,2,Preventive,49.4,2,C,16.12,NRC,0,697636,Pending,101513,0,180,
WO00012,A1170,Sizewell B,Vendor_30,Finance,P1,In Progress,Pump Failure,Design,29/05/2023,2023-05-27,405250,426610,21360,50.8,239.3,49,High,Compliant,,EMP696,38,BWR,P1448,-4,25,52,Preventive,3.4,8,A,7.74,STUK,0,290647,Pending,448942,1,180,urgent
WO00013,A1002,Heysham 1,Vendor_4,Safety,P1,In Progress,Valve Leak,Ageing,2024-01-26,2024-02-15,178853,196379,17526,6.4,263.2,26,High,Pending,,EMP314,15,SMR,P1060,107,77,0,Corrective,12.7,8,B,5.11,ONR,0,566027,Pending,209599,7,365,repeat issue 
WO00014,A1107,Torness,Vendor_28,Safety,P5,Closed,Pump Failure,Unknown,2023-03-28,2023-05-18,434477,522507,88030,91.9,655.9,3,Medium,Compliant,59.0,EMP640,21,BWR,P1231,153,119,37,Emergency,23.8,8,B,14.17,ONR,0,643820,Paid,458190,3,365,N/A
WO00015,A1206,Heysham 1,Vendor_30,Maint,P2,In Progress,Sensor Fault,Human Error,2024-08-23,2024-09-19,441989,526310,84321,-0.2,421.5,62,Medium,Non-Compliant,,EMP916,31,PWR,P1142,216,107,34,Predictive,6.5,4,C,3.36,STUK,0,463180,Paid,462191,6,180,repeat issue 
WO00016,A1172,Heysham 1,Vendor_4,Safety,P5,Closed,Valve Leak,Design,01/05/2022,2022-06-06,297164,395601,98437,16.7,338.3,44,High,Pending,91.0,EMP319,25,PWR,P1424,481,61,28,Preventive,7.5,4,C,7.8,ONR,77741,29419,Overdue,294133,3,180,repeat issue 
WO00017,A1020,Heysham 1,Vendor_10,Engineering,P1,In Progress,Inspection Overdue,Vendor Delay,2024-02-03,2024-02-21,382346,453497,71151,1.5,767.9,54,High,Non-Compliant,,EMP296,37,AGR,P1222,89,109,34,Corrective,78.5,8,B,17.85,STUK,83981,237539,Pending,384354,12,180,await docs
WO00018,A1108,Torness,Vendor_2,Ops,P5,Cancelled,Inventory Shortage,Design,11/01/2023,2023-02-19,487839,506056,18217,7.8,779.1,8,Medium,Non-Compliant,96.0,EMP854,4,SMR,P1313,455,70,41,Predictive,48.8,5,D,16.11,CNSC,0,399657,Paid,470944,11,180,await docs
WO00019,A1181,Bruce A,Vendor_23,Finance,P3,In Progress,Valve Leak,Ageing,12/09/2023,2023-11-02,291972,289474,-2498,67.5,699.1,40,Medium,compliant,,EMP512,5,BWR,P1324,394,61,38,Preventive,14.2,4,C,11.46,ONR,34961,748072,Pending,282513,11,90,repeat issue 
WO00020,A1170,Diablo Canyon,Vendor_8,Finance,P1,Open,Valve Leak,Design,2022-10-26,2022-11-14,292238,403835,111597,41.0,118.7,45,Critical,Non-Compliant,,EMP737,45,PHWR,P1495,0,71,13,Preventive,9.0,6,C,1.97,NRC,0,332522,Pending,304257,8,365,N/A
WO00021,A1226,Olkiluoto 3,Vendor_29,Maint,P1,In Progress,Pump Failure,Ageing,2022-07-08,2022-08-31,80295,135291,54996,88.8,247.7,61,Medium,compliant,,EMP727,3,PWR,P1017,345,44,29,Predictive,30.1,4,B,0.97,STUK,0,816215,Paid,79253,3,180,await docs
WO00022,A1097,Bruce A,Vendor_20,Finance,P5,Open,Calibration Drift,Vendor Delay,27/06/2024,2024-06-30,375980,414796,38816,19.6,127.9,43,Critical,Pending,,EMP413,31,PWR,P1404,415,22,47,Predictive,76.3,8,B,2.42,NRC,65556,143053,Overdue,362222,5,90,await docs
WO00023,A1233,Bruce A,Vendor_10,Safety,P1,Cancelled,Inspection Overdue,Ageing,2022-03-10,2022-03-13,163854,271114,107260,62.2,877.8,58,Critical,Pending,85.0,EMP855,11,AGR,P1059,491,49,36,Preventive,53.6,1,D,16.92,ONR,0,299829,Paid,164736,0,365,repeat issue 
WO00024,A1079,Torness,Vendor_18,Engineering,P3,In Progress,Pump Failure,Human Error,13/08/2023,2023-08-13,384332,488401,104069,50.7,623.9,4,Low,Compliant,,EMP116,37,PHWR,P1388,109,34,87,Preventive,75.9,4,B,3.67,ONR,0,129712,Overdue,417711,1,365,
WO00025,A1195,Sizewell B,Vendor_22,Maint,P4,Open,Valve Leak,Human Error,2023-08-18,2023-10-05,338450,420056,81606,74.1,463.3,98,High,compliant,70.0,EMP702,38,BWR,P1198,88,80,63,Predictive,28.8,3,B,10.2,ONR,0,645131,Pending,376951,9,90,
WO00026,A1057,Olkiluoto 3,Vendor_14,Finance,P2,Open,Valve Leak,Human Error,2025-02-08,2025-02-19,335201,346103,10902,81.3,540.8,71,High,Pending,,EMP297,39,PWR,P1274,151,38,85,Predictive,40.6,6,D,6.14,ONR,0,765898,Overdue,350364,0,30,repeat issue 
WO00027,A1080,Olkiluoto 3,Vendor_28,Safety,P2,Closed,Sensor Fault,Design,21/04/2024,2024-05-24,125889,159919,34030,84.9,684.7,41,Low,compliant,,EMP728,29,PWR,P1493,308,37,6,Corrective,77.5,8,B,15.44,STUK,0,131854,Overdue,130039,8,30,await docs
WO00028,A1261,Torness,Vendor_12,Ops,P5,Open,Inspection Overdue,Unknown,2023-11-12,2023-12-12,296668,380391,83723,83.0,629.5,51,Medium,Non-Compliant,88.0,EMP424,41,PHWR,P1361,308,55,68,Emergency,59.2,2,D,11.63,NRC,0,945142,Pending,337176,12,30,repeat issue 
WO00029,A1195,Torness,Vendor_11,Safety,P5,Closed,Valve Leak,Unknown,2022-03-16,2022-04-22,170146,193328,23182,4.4,82.5,42,Medium,Non-Compliant,,EMP339,44,BWR,P1245,343,75,25,Corrective,1.9,7,D,2.08,ONR,0,73473,Paid,155624,6,180,repeat issue 
WO00030,A1183,Diablo Canyon,Vendor_21,Engineering,P3,Cancelled,Sensor Fault,Ageing,01/09/2024,2024-09-03,54267,66844,12577,92.2,475.0,4,Critical,Pending,,EMP497,16,AGR,P1015,94,81,65,Corrective,35.1,4,D,16.75,ONR,76248,663859,Pending,96050,9,90,urgent
WO00031,A1030,Sizewell B,Vendor_15,Engineering,P4,Open,Inspection Overdue,Vendor Delay,2022-05-29,2022-07-25,258255,252341,-5914,81.3,413.4,54,Critical,compliant,,EMP382,1,PWR,P1355,68,47,66,Predictive,10.2,1,B,16.06,STUK,0,14958,Pending,305334,8,90,await docs
WO00032,A1042,Olkiluoto 3,Vendor_13,Maint,P4,In Progress,Calibration Drift,Vendor Delay,08/04/2022,,265044,245345,-19699,81.4,893.5,29,Medium,compliant,,EMP689,21,BWR,P1495,219,91,71,Predictive,40.8,7,A,6.5,CNSC,0,453742,Pending,280279,7,365,
WO00033,A1241,Heysham 1,Vendor_29,Procurement,P2,Closed,Valve Leak,Unknown,2022-01-31,2022-02-08,30452,29324,-1128,80.0,484.5,41,Low,compliant,,EMP585,4,AGR,P1234,341,118,3,Emergency,33.0,3,D,14.47,ONR,0,190010,Pending,61264,12,365,await docs
WO00034,A1009,Bruce A,Vendor_4,Finance,P2,Closed,Sensor Fault,Human Error,26/03/2022,2022-04-15,388980,427933,38953,88.8,302.5,79,Low,Compliant,71.0,EMP734,43,SMR,P1227,21,28,18,Predictive,68.5,3,A,3.65,STUK,0,417940,Paid,377928,10,30,repeat issue 
WO00035,A1029,Olkiluoto 3,Vendor_16,Finance,P2,Closed,Inspection Overdue,Unknown,27/07/2023,2023-09-02,302728,346695,43967,78.9,254.2,35,High,compliant,72.0,EMP730,34,PWR,P1024,101,118,62,Predictive,56.3,2,A,8.8,NRC,0,838552,Pending,327960,5,365,urgent
WO00036,A1255,Diablo Canyon,Vendor_1,Finance,P2,In Progress,Inventory Shortage,Vendor Delay,04/06/2025,,258995,222925,-36070,10.7,232.1,93,High,Pending,,EMP617,15,BWR,P1191,447,86,68,Emergency,77.1,2,A,16.93,STUK,0,550162,Overdue,247410,12,90,N/A
WO00037,A1005,Sizewell B,Vendor_1,Procurement,P4,Closed,Sensor Fault,Unknown,24/04/2025,2025-06-04,101032,84110,-16922,56.6,525.3,99,Critical,Non-Compliant,73.0,EMP875,9,PHWR,P1422,143,57,87,Preventive,13.2,4,B,12.88,NRC,0,845255,Pending,99016,9,365,repeat issue 
WO00038,A1122,Bruce A,Vendor_29,Maint,P5,Cancelled,Sensor Fault,Vendor Delay,2024-12-03,2025-01-29,258176,224385,-33791,16.3,496.5,51,Critical,Pending,53.0,EMP907,21,BWR,P1408,420,97,27,Corrective,41.7,7,B,0.76,CNSC,0,471591,Pending,275506,5,30,
WO00039,A1038,Olkiluoto 3,Vendor_11,Maint,P2,Cancelled,Inspection Overdue,Vendor Delay,2022-09-01,2022-10-07,22946,71001,48055,80.9,439.5,33,Medium,compliant,,EMP388,44,AGR,P1461,7,85,35,Preventive,56.8,4,C,13.12,NRC,80117,594538,Paid,50710,1,180,N/A
WO00040,A1207,Bruce A,Vendor_27,Maint,P1,Closed,Valve Leak,Ageing,03/01/2023,2023-02-13,320121,343517,23396,72.9,198.5,64,Medium,compliant,,EMP539,24,PWR,P1072,-3,101,4,Corrective,36.9,7,D,4.16,CNSC,3126,785061,Overdue,326422,12,180,urgent
WO00041,A1211,Heysham 1,Vendor_17,Engineering,P2,Open,Pump Failure,Human Error,2023-03-01,2023-04-25,352160,354337,2177,19.8,696.9,67,Low,Pending,48.0,EMP907,21,SMR,P1345,342,89,63,Predictive,10.7,3,A,11.99,ONR,0,636972,Overdue,391325,2,30,repeat issue 
WO00042,A1212,Bruce A,Vendor_6,Ops,P5,Cancelled,Pump Failure,Ageing,2023-01-07,,176710,195665,18955,8.2,0.5,69,Low,Pending,,EMP364,11,AGR,P1449,260,33,10,Predictive,6.0,3,B,7.49,CNSC,0,521212,Pending,211681,5,180,await docs
WO00043,A1180,Heysham 1,Vendor_12,Ops,P3,Cancelled,Calibration Drift,Design,2024-09-25,2024-11-09,45771,7874,-37897,2.9,781.9,13,Critical,Non-Compliant,100.0,EMP911,43,PWR,P1200,55,33,60,Preventive,60.8,1,B,0.59,ONR,87510,604959,Overdue,89506,1,90,repeat issue 
WO00044,A1108,Sizewell B,Vendor_5,Safety,P5,Cancelled,Calibration Drift,Unknown,2025-10-12,2025-11-15,218424,301009,82585,90.0,778.9,63,High,Compliant,,EMP603,42,BWR,P1445,190,20,37,Emergency,61.1,1,B,17.53,NRC,0,520091,Pending,212729,3,180,await docs
WO00045,A1183,Olkiluoto 3,Vendor_5,Maint,P4,In Progress,Inventory Shortage,Human Error,2025-10-29,2025-12-04,310114,319934,9820,51.1,649.3,38,Medium,Pending,,EMP922,32,BWR,P1119,486,19,45,Corrective,67.8,7,A,2.6,ONR,0,837592,Overdue,346623,8,90,
WO00046,A1111,Torness,Vendor_6,Engineering,P4,Cancelled,Pump Failure,Design,2024-09-20,,169477,202208,32731,7.3,339.2,81,Low,Pending,,EMP498,37,PHWR,P1421,351,26,82,Emergency,60.9,8,B,2.92,CNSC,0,861007,Pending,151941,4,30,urgent
WO00047,A1068,Torness,Vendor_12,Ops,P3,Cancelled,Inventory Shortage,Vendor Delay,2023-05-03,2023-06-04,475292,516411,41119,38.6,762.1,26,Medium,Compliant,83.0,EMP476,29,BWR,P1191,112,68,55,Emergency,63.2,4,A,17.16,CNSC,0,382908,Paid,474782,9,180,await docs
WO00048,A1008,Diablo Canyon,Vendor_14,Finance,P1,Cancelled,Inventory Shortage,Ageing,15/11/2024,2024-12-26,215069,265521,50452,92.3,630.4,35,High,compliant,,EMP422,21,SMR,P1322,330,95,29,Predictive,77.7,3,B,11.25,STUK,0,434756,Paid,228931,2,90,
WO00049,A1007,Olkiluoto 3,Vendor_26,Safety,P4,Open,Pump Failure,Design,2022-04-08,2022-04-16,166294,220897,54603,57.7,438.8,8,High,compliant,56.0,EMP275,12,PHWR,P1233,247,34,-2,Emergency,10.8,8,A,12.81,STUK,0,626930,Paid,152355,2,30,N/A
WO00050,A1232,Olkiluoto 3,Vendor_15,Procurement,P3,In Progress,Calibration Drift,Design,2025-01-12,2025-02-12,190871,259287,68416,23.4,676.4,89,Medium,Compliant,,EMP325,36,PWR,P1446,64,24,23,Preventive,57.2,5,A,0.68,CNSC,4591,224864,Paid,204096,3,30,
WO00051,A1261,Torness,Vendor_24,Ops,P5,Closed,Pump Failure,Vendor Delay,12/05/2022,,66309,71380,5071,69.0,898.8,98,High,Compliant,67.0,EMP797,25,PHWR,P1012,87,14,49,Emergency,71.3,5,D,5.8,STUK,0,20568,Overdue,101657,11,365,repeat issue 
WO00052,A1109,Diablo Canyon,Vendor_4,Finance,P5,Cancelled,Valve Leak,Human Error,2024-10-02,2024-11-19,393156,385237,-7919,61.9,537.0,71,Critical,Non-Compliant,,EMP912,21,SMR,P1265,262,50,71,Corrective,15.2,5,D,8.24,NRC,89452,639489,Overdue,402337,7,365,N/A
WO00053,A1015,Olkiluoto 3,Vendor_1,Ops,P3,Closed,Inspection Overdue,Vendor Delay,2022-01-19,2022-03-06,309329,338457,29128,82.3,391.4,54,Medium,compliant,,EMP874,11,BWR,P1019,82,33,28,Predictive,63.3,4,C,16.03,CNSC,0,52764,Paid,294979,4,30,N/A
WO00054,A1172,Olkiluoto 3,Vendor_1,Safety,P2,In Progress,Sensor Fault,Ageing,28/10/2025,,223198,263415,40217,67.5,493.7,90,Medium,Pending,73.0,EMP791,25,PWR,P1012,380,38,89,Emergency,69.3,8,A,6.44,ONR,0,183491,Overdue,253226,8,365,N/A
WO00055,A1093,Torness,Vendor_26,Engineering,P4,In Progress,Pump Failure,Vendor Delay,22/05/2025,2025-06-06,269669,300858,31189,6.6,86.7,82,Medium,compliant,99.0,EMP328,35,BWR,P1500,86,37,81,Emergency,12.5,8,C,1.22,CNSC,6950,111139,Paid,275142,1,365,urgent
WO00056,A1084,Olkiluoto 3,Vendor_9,Ops,P2,In Progress,Pump Failure,Design,2024-06-06,,340893,375302,34409,-1.0,439.9,29,Critical,compliant,,EMP390,31,SMR,P1251,187,89,15,Predictive,76.8,1,C,3.42,STUK,0,588877,Paid,387502,6,90,urgent
WO00057,A1232,Bruce A,Vendor_23,Ops,P4,Open,Inspection Overdue,Vendor Delay,2022-12-15,2023-02-12,297751,267314,-30437,24.4,771.6,29,High,Non-Compliant,44.0,EMP742,42,BWR,P1009,241,81,38,Emergency,17.1,4,A,0.92,CNSC,33711,349885,Paid,324439,7,365,await docs
WO00058,A1290,Diablo Canyon,Vendor_5,Safety,P5,Closed,Inventory Shortage,Unknown,2022-11-06,2022-12-24,209685,318939,109254,32.2,251.3,78,Medium,compliant,,EMP461,35,SMR,P1067,317,30,2,Emergency,25.9,2,D,16.11,ONR,0,278819,Pending,193019,5,365,await docs
WO00059,A1047,Sizewell B,Vendor_8,Safety,P1,Open,Sensor Fault,Ageing,2024-08-10,2024-09-27,276238,366696,90458,3.3,370.5,8,Critical,Non-Compliant,73.0,EMP696,5,SMR,P1494,136,93,59,Emergency,30.9,7,D,13.81,CNSC,0,418223,Paid,292802,3,365,urgent
WO00060,A1163,Sizewell B,Vendor_13,Ops,P4,Cancelled,Inspection Overdue,Unknown,06/03/2025,2025-04-01,194932,198704,3772,22.4,73.2,52,High,compliant,,EMP981,12,AGR,P1199,202,79,1,Corrective,50.2,5,A,12.07,CNSC,0,773248,Pending,217998,8,365,N/A
WO00061,A1254,Torness,Vendor_21,Engineering,P5,Closed,Valve Leak,Design,26/09/2023,2023-10-27,418794,479884,61090,19.1,821.2,46,Medium,Compliant,60.0,EMP166,25,AGR,P1224,158,60,2,Predictive,54.2,7,B,5.59,CNSC,0,102852,Pending,413642,9,90,repeat issue 
WO00062,A1171,Olkiluoto 3,Vendor_16,Finance,P4,Cancelled,Inspection Overdue,Vendor Delay,14/12/2022,,194377,314043,119666,87.8,777.9,87,Medium,Compliant,,EMP322,38,BWR,P1143,-4,53,62,Preventive,78.7,6,C,6.5,STUK,0,319092,Overdue,186850,4,90,urgent
WO00063,A1126,Olkiluoto 3,Vendor_26,Engineering,P4,In Progress,Pump Failure,Unknown,2024-08-12,2024-09-01,353282,421851,68569,93.2,457.5,13,Medium,compliant,,EMP643,16,BWR,P1408,356,28,55,Preventive,27.0,6,C,3.88,CNSC,0,857078,Paid,385138,1,365,
WO00064,A1128,Torness,Vendor_20,Finance,P4,Cancelled,Inventory Shortage,Unknown,04/09/2024,2024-09-23,362788,354054,-8734,61.2,868.7,2,High,compliant,55.0,EMP791,13,AGR,P1470,443,66,65,Predictive,31.6,6,D,13.9,STUK,34263,698834,Pending,408110,12,365,N/A
WO00065,A1126,Bruce A,Vendor_10,Maint,P3,Open,Sensor Fault,Design,08/12/2024,2025-01-29,212060,282089,70029,42.0,555.8,4,High,Compliant,,EMP570,18,PHWR,P1097,46,84,4,Predictive,35.0,1,D,2.07,ONR,52904,347004,Overdue,242071,5,90,
WO00066,A1178,Sizewell B,Vendor_28,Ops,P2,Open,Sensor Fault,Design,18/07/2022,2022-07-30,165457,221573,56116,18.8,835.2,89,Medium,compliant,78.0,EMP947,24,PHWR,P1336,92,119,84,Corrective,20.9,7,B,3.37,ONR,0,313460,Overdue,145531,3,180,
WO00067,A1095,Olkiluoto 3,Vendor_13,Ops,P3,Open,Sensor Fault,Ageing,19/03/2025,2025-04-02,337657,344303,6646,42.1,888.4,14,Critical,Compliant,72.0,EMP577,44,BWR,P1404,100,57,59,Emergency,61.9,8,D,17.0,NRC,23956,243804,Pending,361218,10,180,repeat issue 
WO00068,A1149,Diablo Canyon,Vendor_11,Finance,P5,Cancelled,Inspection Overdue,Unknown,03/09/2022,2022-09-08,27297,117674,90377,33.9,735.2,30,High,Compliant,,EMP540,11,AGR,P1313,23,59,10,Predictive,45.1,4,B,10.15,CNSC,0,611183,Paid,32072,10,180,repeat issue 
WO00069,A1016,Bruce A,Vendor_1,Maint,P3,In Progress,Valve Leak,Design,26/10/2025,2025-11-09,241115,329914,88799,8.4,306.9,28,High,Non-Compliant,85.0,EMP541,38,PHWR,P1071,303,50,81,Emergency,4.1,1,B,11.81,CNSC,11627,269579,Overdue,235454,5,365,N/A
WO00070,A1295,Sizewell B,Vendor_26,Engineering,P5,Closed,Pump Failure,Unknown,31/12/2023,,63659,143145,79486,20.1,305.5,17,Critical,compliant,68.0,EMP151,4,AGR,P1476,300,73,25,Preventive,9.2,3,C,9.79,NRC,0,317654,Pending,78488,9,30,urgent
WO00071,A1173,Torness,Vendor_7,Procurement,P1,In Progress,Pump Failure,Design,03/01/2022,,127355,144867,17512,23.0,335.1,18,Medium,Pending,100.0,EMP321,1,PHWR,P1220,351,27,65,Emergency,50.6,5,C,1.64,NRC,0,424321,Paid,172244,8,180,N/A
WO00072,A1097,Diablo Canyon,Vendor_30,Finance,P2,In Progress,Inspection Overdue,Human Error,2022-12-07,2022-12-10,310422,285103,-25319,78.6,881.2,17,High,compliant,74.0,EMP587,41,AGR,P1480,136,108,66,Preventive,54.1,4,B,9.24,ONR,0,824355,Paid,312771,10,180,urgent
WO00073,A1173,Torness,Vendor_22,Maint,P5,Open,Inspection Overdue,Vendor Delay,26/10/2022,2022-10-27,39244,28683,-10561,83.1,347.8,64,Medium,Non-Compliant,68.0,EMP542,2,AGR,P1306,239,21,64,Preventive,77.6,7,B,14.76,ONR,0,686127,Overdue,64684,8,180,N/A
WO00074,A1115,Diablo Canyon,Vendor_26,Procurement,P4,Cancelled,Inspection Overdue,Unknown,2025-02-28,2025-04-21,202278,186984,-15294,46.3,302.4,53,Low,Compliant,,EMP411,5,BWR,P1446,378,120,9,Emergency,49.1,6,A,6.01,STUK,0,595307,Pending,204707,0,30,await docs
WO00075,A1278,Torness,Vendor_3,Ops,P5,In Progress,Inventory Shortage,Design,2024-08-25,2024-10-21,209923,182687,-27236,23.1,85.8,48,Medium,Non-Compliant,61.0,EMP641,34,BWR,P1232,305,75,32,Preventive,78.0,6,D,14.01,STUK,0,294941,Pending,206535,0,90,repeat issue 
WO00076,A1044,Olkiluoto 3,Vendor_29,Finance,P5,Cancelled,Valve Leak,Unknown,27/07/2024,2024-09-05,70105,36192,-33913,57.3,132.9,60,Critical,compliant,,EMP194,5,SMR,P1212,454,82,78,Predictive,40.3,5,D,12.26,CNSC,68858,433298,Pending,97199,9,180,await docs
WO00077,A1153,Sizewell B,Vendor_5,Safety,P4,Cancelled,Inspection Overdue,Human Error,2025-09-05,2025-10-09,285813,278103,-7710,30.7,803.9,17,Critical,Pending,,EMP380,43,PWR,P1240,251,113,8,Corrective,22.7,4,A,14.67,STUK,0,983608,Pending,279950,3,90,
WO00078,A1173,Torness,Vendor_12,Procurement,P4,Closed,Inspection Overdue,Design,2023-03-11,2023-05-01,334013,444805,110792,19.4,670.5,30,Critical,Pending,82.0,EMP788,31,BWR,P1146,340,120,32,Corrective,51.3,8,C,7.01,STUK,0,606166,Overdue,345666,1,30,urgent
WO00079,A1239,Bruce A,Vendor_25,Safety,P5,Cancelled,Inspection Overdue,Design,2025-05-07,,34876,121742,86866,1.7,766.0,73,Critical,Non-Compliant,,EMP149,44,SMR,P1385,283,78,-2,Predictive,26.1,2,D,14.16,CNSC,0,931862,Paid,22393,10,30,repeat issue 
WO00080,A1019,Olkiluoto 3,Vendor_20,Ops,P2,Closed,Inventory Shortage,Vendor Delay,2024-02-29,2024-03-06,334116,326225,-7891,-0.8,893.7,22,High,compliant,86.0,EMP619,9,SMR,P1070,268,85,86,Preventive,55.6,4,B,9.47,CNSC,0,790760,Overdue,380695,3,365,urgent
WO00081,A1175,Olkiluoto 3,Vendor_20,Procurement,P4,In Progress,Pump Failure,Unknown,2023-11-23,2023-12-12,361816,388979,27163,71.7,125.2,27,Critical,Compliant,,EMP723,34,SMR,P1178,91,81,32,Emergency,18.1,2,C,10.37,NRC,0,339523,Paid,388491,6,365,
WO00082,A1014,Sizewell B,Vendor_16,Ops,P3,Open,Inspection Overdue,Unknown,2023-02-16,2023-03-06,358395,404933,46538,47.2,732.4,78,Medium,Non-Compliant,,EMP405,8,BWR,P1424,106,79,46,Emergency,54.1,2,D,11.33,ONR,0,603091,Overdue,362129,1,30,
WO00083,A1060,Sizewell B,Vendor_15,Maint,P4,In Progress,Inventory Shortage,Design,23/09/2025,2025-09-22,478309,551760,73451,1.0,779.4,18,High,Non-Compliant,72.0,EMP793,12,AGR,P1095,82,62,70,Emergency,55.9,3,C,11.01,STUK,0,527862,Paid,527805,1,180,await docs
WO00084,A1266,Sizewell B,Vendor_25,Engineering,P5,In Progress,Inspection Overdue,Ageing,20/02/2023,2023-02-20,437634,421166,-16468,15.7,134.4,59,High,compliant,89.0,EMP979,35,SMR,P1097,259,109,-3,Preventive,46.3,3,A,15.2,STUK,0,790108,Overdue,453502,9,180,
WO00085,A1262,Sizewell B,Vendor_1,Maint,P5,Cancelled,Inventory Shortage,Design,27/11/2024,2024-12-15,91682,124758,33076,75.4,273.4,58,Low,Pending,,EMP729,19,AGR,P1219,139,11,83,Corrective,50.7,7,D,13.04,CNSC,77682,769943,Paid,121392,7,180,await docs
WO00086,A1074,Heysham 1,Vendor_17,Procurement,P5,Closed,Valve Leak,Design,2023-05-24,2023-07-16,406292,490679,84387,78.7,137.2,20,Medium,Pending,,EMP128,2,SMR,P1286,261,93,90,Preventive,44.3,4,C,2.76,CNSC,0,680393,Pending,391062,4,180,
